Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
JCPI,218,200,73.42,200,24.48,49.00,218,0
IETC,216,100,61.09,100,35.53,47.31,216,0
EUDV,206,200,61.86,100,30.35,40.42,206,0
HFGO,205,200,20.11,200,6.71,13.14,205,0
IBHF,200,100,31.72,100,15.42,22.88,200,0
KJUL,197,100,30.79,100,16.66,24.71,197,0
SEIM,187,200,40.45,200,13.49,26.50,187,0
NURE,182,100,43.67,100,26.37,35.26,182,0
SEIQ,176,200,40.36,200,13.46,26.33,176,0
EAOA,170,200,44.53,200,14.85,29.22,170,0
DAPR,153,100,39.18,100,22.79,30.43,153,0
TLTW,150,200,60.08,200,20.03,39.53,150,0
CSM,148,100,62.71,100,36.48,48.76,148,0
BLKC,145,200,18.20,200,6.07,11.75,145,0
DNOV,143,100,42.50,100,24.73,33.03,143,0
EWUS,137,200,48.79,200,16.27,31.67,137,0
IBMO,134,200,31.73,200,19.05,25.31,101,33
MOTE,130,200,35.64,200,11.89,23.65,130,0
WEED,129,200,14.94,100,7.67,9.58,129,0
XDSQ,128,200,37.38,200,12.46,24.68,128,0
TILT,127,100,197.98,100,126.81,159.81,127,0
XBOC,123,200,36.49,200,12.17,23.91,123,0
LEAD,121,100,64.77,200,26.73,52.36,121,0
BUFB,113,200,36.23,200,12.08,23.85,113,0
WBAT,111,100,45.66,200,18.21,36.21,111,0
QJUN,110,100,26.71,100,12.98,19.23,110,0
IVSG,108,200,16.71,200,5.58,10.90,108,0
IQM,105,100,50.35,100,29.29,39.16,105,0
PMAY,104,200,43.84,200,14.62,28.97,104,0
BBSA,103,200,60.04,200,36.03,47.97,103,0
GEMD,102,200,50.98,200,30.60,40.37,102,0
JULZ,102,200,50.91,200,16.98,33.35,102,0
RSEE,102,200,37.49,200,12.50,24.85,102,0
GDE,101,200,34.19,200,11.40,22.22,101,0
PLTL,101,200,36.58,200,12.20,23.93,101,0
CVAR,100,200,38.00,200,12.67,24.83,100,0
DBOC,100,200,43.41,100,21.38,28.65,100,0
DFHY,100,200,32.96,200,10.99,21.94,100,0
PXUS,100,200,30.93,200,10.32,20.28,100,0
QSPT,100,200,28.72,200,9.58,18.76,100,0
RTAI,100,200,33.87,200,11.30,22.33,100,0
SELV,100,200,38.49,200,12.83,25.24,100,0
XDAP,100,200,41.63,200,13.88,27.11,100,0
HSRT,98,100,49.45,100,28.76,38.43,98,0
MOTI,94,100,36.65,100,21.33,28.52,94,0
PSCW,92,200,32.29,200,10.77,21.32,92,0
IVLC,90,200,19.87,200,6.63,12.95,90,0
IAUF,88,100,57.75,100,52.01,52.89,88,0
BLDG,87,200,42.11,200,14.04,27.70,87,0
TTAC,85,100,60.97,100,36.81,49.46,85,0
ESG,82,200,151.34,200,50.45,98.93,82,0
TMFS,78,200,40.52,100,18.08,26.40,78,0
GSID,75,200,69.64,200,23.22,45.57,75,0
SMI,69,200,57.34,200,34.41,45.78,69,0
PSCX,62,200,32.04,200,10.69,21.15,62,0
IVRA,59,200,22.21,200,7.41,14.62,59,0
XTOC,59,200,36.12,200,12.05,23.28,59,0
THY,58,200,34.88,200,11.63,23.04,58,0
JBBB,54,200,59.25,200,35.55,47.29,54,0
STLV,50,200,42.27,1,27.19,27.69,50,0
SPMV,49,200,58.45,200,19.49,38.30,49,0
BUFF,45,100,44.55,100,25.91,34.58,45,0
HAUS,36,200,28.16,100,14.02,18.47,36,0
PUNK,36,200,30.30,200,10.11,19.78,36,0
MOTG,30,200,43.27,200,25.97,34.32,30,0
PSMC,27,200,18.78,200,6.26,12.43,27,0
CLSE,26,200,22.80,200,7.61,15.06,26,0
FNOV,26,200,55.16,200,18.39,36.43,26,0
FUNL,26,200,51.01,200,17.01,33.27,26,0
ISVL,23,200,45.30,200,15.11,29.73,23,0
VIRS,22,200,43.00,200,14.34,28.20,22,0
UAUG,18,100,34.68,100,20.18,27.00,18,0
FDEM,17,200,32.43,100,14.24,21.54,17,0
FAIL,16,100,30.00,100,14.58,21.39,16,0
WLDR,14,200,36.02,200,12.01,23.45,14,0
BUFQ,11,200,33.79,200,11.27,22.14,11,0
GCLN,11,200,62.65,200,20.89,41.38,11,0
PJUL,11,100,39.49,100,22.98,30.76,9,2
GLDB,10,200,30.12,200,10.04,19.66,10,0
QTAP,9,200,41.52,200,13.85,27.32,9,0
VWID,8,200,30.07,200,18.05,23.91,8,0
LYFE,7,200,46.45,100,20.80,30.51,7,0
FOMO,5,200,27.52,200,9.18,18.35,5,0
MAAX,5,200,27.16,200,16.30,21.68,5,0
PBUS,5,100,53.33,100,31.02,41.34,5,0
VMOT,5,100,31.72,100,16.63,24.62,5,0
XBJA,5,200,34.75,200,11.59,23.00,5,0
AMER,4,200,44.58,200,14.87,29.25,4,0
STLG,3,200,50.85,200,16.96,33.36,3,0
WDNA,3,200,28.81,100,12.81,19.00,3,0
DJAN,2,100,40.54,100,23.58,31.63,2,0
KWT,2,200,54.46,200,18.16,36.70,2,0
